WD	WFS	TS	P	AW	ME
0.8	39.33	5.00	531.22	4.45	0.395639289
0.8	48.33	6.66	693.84	4.57	0.414378238
0.8	66.83	8.34	959.70	5.27	0.432981221
0.8	80.00	10.00	1113.30	5.26	0.446483428
0.8	94.33	11.67	1277.70	5.15	0.444695724
0.8	103.67	13.34	1448.13	5.12	0.445771144
0.8	122.50	14.99	1727.29	5.87	0.481523438
0.8	137.17	16.67	1921.50	5.78	0.473770492
0.8	150.17	18.34	2090.78	5.82	0.482320442
0.8	166.67	19.98	2339.93	6.14	0.495541891
0.8	192.33	21.66	2596.50	6.86	0.540765766
0.8	204.33	23.33	2712.32	6.58	0.534752322
0.8	221.50	25.00	2873.25	6.62	0.544322631
0.8	42.00	3.33	550.86	6.58	0.376266202
0.8	54.00	4.45	714.15	7.19	0.423201973
0.8	64.83	5.56	911.20	7.16	0.412532924
0.8	75.33	6.67	1035.06	6.95	0.423018955
0.8	90.67	7.77	1229.80	7.03	0.419689561
0.8	105.50	8.89	1443.29	7.52	0.437621238
0.8	116.17	10.01	1632.55	7.61	0.440757902
0.8	124.67	11.12	1798.20	7.76	0.453523322
0.8	150.67	12.23	2104.66	8.54	0.468936304
0.8	164.83	13.34	2326.07	8.88	0.481114551
0.8	193.33	14.44	2625.20	9.94	0.516632017
0.8	203.67	15.56	2721.91	9.31	0.502906678
0.8	222.50	16.67	2873.70	9.81	0.537660507
0.8	40.33	2.50	538.94	8.96	0.393097397
0.8	49.83	3.33	707.17	9.17	0.407918149
0.8	60.67	4.17	901.97	9.62	0.420244633
0.8	80.33	5.00	1106.41	9.68	0.41330514
0.8	87.67	5.83	1236.27	9.11	0.405902572
0.8	99.83	6.67	1440.90	9.47	0.414191694
0.8	112.67	7.51	1714.14	10.20	0.422085599
0.8	123.17	8.33	1887.30	10.15	0.423235773
0.8	136.83	9.16	2073.18	10.55	0.440737646
0.8	182.00	10.84	2589.29	12.78	0.505595117
0.8	194.67	11.66	2706.62	12.40	0.504964319
0.8	214.67	12.50	2882.02	12.27	0.503006286
1.0	33.50	2.22	704.70	12.78	0.37995866
1.0	45.50	3.33	1072.59	13.00	0.381786144
1.0	59.17	4.44	1441.98	13.81	0.401709283
1.0	78.83	5.56	1891.50	15.20	0.421887391
1.0	89.00	6.67	2064.77	15.30	0.467182365
1.0	105.33	7.78	2384.35	16.14	0.497636177
1.0	121.33	8.89	2915.76	16.11	0.464112273
1.0	137.00	10.00	3266.55	17.25	0.49903568
1.0	32.17	1.66	680.00	15.42	0.356417989
1.0	44.83	2.50	1059.76	17.30	0.385521457
1.0	57.00	3.33	1407.78	17.61	0.39403529
1.0	71.17	4.17	1788.14	18.71	0.412477954
1.0	90.50	5.00	2068.20	19.84	0.453263708
1.0	100.33	5.83	2323.55	19.64	0.465949659
1.0	123.33	6.67	2970.96	22.43	0.475634138
1.0	136.17	7.50	3234.85	22.41	0.491149888
1.2	29.50	3.33	1025.13	11.37	0.349375201
1.2	39.50	5.01	1373.92	11.36	0.391171744
1.2	47.67	6.68	1737.51	11.29	0.409934989
1.2	55.17	8.33	1970.48	10.70	0.427625319
1.2	66.67	10.01	2119.73	11.36	0.506948872
1.2	77.67	11.66	2518.50	11.68	0.511085181
1.2	91.67	13.32	3072.17	12.98	0.531967213
1.2	29.33	2.22	1010.42	16.24	0.336756458
1.2	36.67	3.33	1363.65	15.73	0.363359366
1.2	47.50	4.45	1753.75	17.25	0.413791922
1.2	55.67	5.56	1998.89	17.52	0.460613952
1.2	68.17	6.67	2188.55	17.83	0.513508695
1.2	75.67	7.77	2486.28	16.67	0.492224409
1.2	91.00	8.89	2974.39	19.58	0.55282476
1.2	28.00	1.67	954.16	18.55	0.306563312
1.2	34.67	2.50	1299.52	19.29	0.350351138
1.2	44.33	3.34	1688.92	19.92	0.37180695
1.2	57.33	4.17	1996.29	22.59	0.446215926
1.2	70.00	5.01	2177.65	22.48	0.488463051
1.2	80.17	5.83	2528.29	21.58	0.470269597
1.2	89.33	6.67	2887.92	22.89	0.499719311
