WD	WFS	v	P	W	H	AW	eff
0.80	39.33	5.00	655.83	2.52	2.00	4.45	0.36
0.80	48.33	6.66	856.60	3.10	1.77	4.57	0.37
0.80	66.83	8.34	1184.81	3.74	1.81	5.27	0.39
0.80	80.00	10.00	1374.44	4.18	1.69	5.26	0.40
0.80	94.33	11.67	1577.41	3.99	1.67	5.15	0.40
0.80	103.67	13.34	1787.82	4.05	1.61	5.12	0.40
0.80	122.50	14.99	2132.46	4.47	1.62	5.87	0.43
0.80	137.17	16.67	2372.22	4.39	1.64	5.78	0.43
0.80	150.17	18.34	2581.21	4.60	1.73	5.82	0.43
0.80	166.67	19.98	2888.80	4.83	1.63	6.14	0.45
0.80	192.33	21.66	3205.56	5.00	1.67	6.86	0.49
0.80	204.33	23.33	3348.54	4.95	1.69	6.58	0.48
0.80	221.50	25.00	3547.22	4.51	1.73	6.62	0.49
0.80	42.00	3.33	680.07	2.93	2.51	6.58	0.34
0.80	54.00	4.45	881.66	3.47	2.30	7.19	0.38
0.80	64.83	5.56	1124.94	4.03	2.16	7.16	0.37
0.80	75.33	6.67	1277.85	4.19	1.98	6.95	0.38
0.80	90.67	7.77	1518.28	4.57	1.92	7.03	0.38
0.80	105.50	8.89	1781.84	4.92	1.96	7.52	0.39
0.80	116.17	10.01	2015.49	4.99	1.89	7.61	0.40
0.80	124.67	11.12	2220.00	5.02	1.90	7.76	0.41
0.80	150.67	12.23	2598.35	5.33	1.96	8.54	0.42
0.80	164.83	13.34	2871.69	5.38	1.94	8.88	0.43
0.80	193.33	14.44	3240.99	5.73	2.01	9.94	0.46
0.80	203.67	15.56	3360.39	5.68	1.94	9.31	0.45
0.80	222.50	16.67	3547.78	5.51	2.06	9.81	0.48
0.80	40.33	2.50	665.36	3.48	2.96	8.96	0.35
0.80	49.83	3.33	873.05	3.60	2.61	9.17	0.37
0.80	60.67	4.17	1113.54	4.39	2.40	9.62	0.38
0.80	80.33	5.00	1365.94	4.61	2.38	9.68	0.37
0.80	87.67	5.83	1526.27	4.84	2.42	9.11	0.37
0.80	99.83	6.67	1778.89	5.18	2.31	9.47	0.37
0.80	112.67	7.51	2116.22	5.64	2.22	10.20	0.38
0.80	123.17	8.33	2330.00	5.72	2.08	10.15	0.38
0.80	136.83	9.16	2559.48	6.05	2.09	10.55	0.40
0.80	155.17	10.00	2066.33	6.20	2.14	11.28	0.57
0.80	182.00	10.84	3196.65	6.43	2.09	12.78	0.46
0.80	194.67	11.66	3341.51	6.28	2.24	12.40	0.45
0.80	214.67	12.50	3558.05	6.21	2.36	12.27	0.45
1.00	33.50	2.22	870.00	4.42	3.35	12.78	0.34
1.00	45.50	3.33	1324.19	4.77	2.90	13.00	0.34
1.00	59.17	4.44	1780.23	5.74	2.52	13.81	0.36
1.00	78.83	5.56	2335.19	6.74	2.58	15.20	0.38
1.00	89.00	6.67	2549.09	6.29	2.51	15.30	0.42
1.00	105.33	7.78	2943.65	7.02	2.36	16.14	0.45
1.00	121.33	8.89	3599.70	7.14	2.44	16.11	0.42
1.00	137.00	10.00	4032.78	7.22	2.40	17.25	0.45
1.00	32.17	1.66	839.50	5.09	3.62	15.42	0.32
1.00	44.83	2.50	1308.35	5.32	3.40	17.30	0.35
1.00	57.00	3.33	1738.00	6.16	3.02	17.61	0.35
1.00	71.17	4.17	2207.58	7.05	3.00	18.71	0.37
1.00	90.50	5.00	2553.33	6.95	3.10	19.84	0.41
1.00	100.33	5.83	2868.57	7.28	3.06	19.64	0.42
1.00	123.33	6.67	3667.85	8.65	2.85	22.43	0.43
1.00	136.17	7.50	3993.64	8.83	2.55	22.41	0.44
1.20	29.50	3.33	1265.59	4.86	2.52	11.37	0.31
1.20	39.50	5.01	1696.20	5.21	2.56	11.36	0.35
1.20	47.67	6.68	2145.07	5.95	2.25	11.29	0.37
1.20	55.17	8.33	2432.69	5.69	2.18	10.70	0.38
1.20	66.67	10.01	2616.95	5.42	2.29	11.36	0.46
1.20	77.67	11.66	3109.26	6.25	2.24	11.68	0.46
1.20	91.67	13.32	3792.80	6.34	2.15	12.98	0.48
1.20	29.33	2.22	1247.44	5.42	3.22	16.24	0.30
1.20	36.67	3.33	1683.52	6.02	2.75	15.73	0.33
1.20	47.50	4.45	2165.13	6.83	2.83	17.25	0.37
1.20	55.67	5.56	2467.77	6.40	2.75	17.52	0.41
1.20	68.17	6.67	2701.91	6.46	2.83	17.83	0.46
1.20	75.67	7.77	3069.48	6.94	2.65	16.67	0.44
1.20	91.00	8.89	3672.09	7.71	2.59	19.58	0.50
1.20	28.00	1.67	1177.98	6.28	3.53	18.55	0.28
1.20	34.67	2.50	1604.35	6.33	3.19	19.29	0.32
1.20	44.33	3.34	2085.09	7.07	3.04	19.92	0.33
1.20	57.33	4.17	2464.55	7.14	3.34	22.59	0.40
1.20	70.00	5.01	2688.45	7.17	3.39	22.48	0.44
1.20	80.17	5.83	3121.35	7.75	3.02	21.58	0.42
1.20	89.33	6.67	3565.33	7.85	3.01	22.89	0.45
