WD	WFS	TS	P	eff
0.80	39.33	5.00	655.83	0.36
0.80	48.33	6.66	856.60	0.37
0.80	66.83	8.34	1184.81	0.39
0.80	80.00	10.00	1374.44	0.40
0.80	94.33	11.67	1577.41	0.40
0.80	103.67	13.34	1787.82	0.40
0.80	122.50	14.99	2132.46	0.43
0.80	137.17	16.67	2372.22	0.43
0.80	150.17	18.34	2581.21	0.43
0.80	166.67	19.98	2888.80	0.45
0.80	192.33	21.66	3205.56	0.49
0.80	204.33	23.33	3348.54	0.48
0.80	221.50	25.00	3547.22	0.49
0.80	42.00	3.33	680.07	0.34
0.80	54.00	4.45	881.66	0.38
0.80	64.83	5.56	1124.94	0.37
0.80	75.33	6.67	1277.85	0.38
0.80	90.67	7.77	1518.28	0.38
0.80	105.50	8.89	1781.84	0.39
0.80	116.17	10.01	2015.49	0.40
0.80	124.67	11.12	2220.00	0.41
0.80	150.67	12.23	2598.35	0.42
0.80	164.83	13.34	2871.69	0.43
0.80	193.33	14.44	3240.99	0.46
0.80	203.67	15.56	3360.39	0.45
0.80	222.50	16.67	3547.78	0.48
0.80	40.33	2.50	665.36	0.35
0.80	49.83	3.33	873.05	0.37
0.80	60.67	4.17	1113.54	0.38
0.80	80.33	5.00	1365.94	0.37
0.80	87.67	5.83	1526.27	0.37
0.80	99.83	6.67	1778.89	0.37
0.80	112.67	7.51	2116.22	0.38
0.80	123.17	8.33	2330.00	0.38
0.80	136.83	9.16	2559.48	0.40
0.80	182.00	10.84	3196.65	0.46
0.80	194.67	11.66	3341.51	0.45
0.80	214.67	12.50	3558.05	0.45
1.00	33.50	2.22	870.00	0.34
1.00	45.50	3.33	1324.19	0.34
1.00	59.17	4.44	1780.23	0.36
1.00	78.83	5.56	2335.19	0.38
1.00	89.00	6.67	2549.09	0.42
1.00	105.33	7.78	2943.65	0.45
1.00	121.33	8.89	3599.70	0.42
1.00	137.00	10.00	4032.78	0.45
1.00	32.17	1.66	839.50	0.32
1.00	44.83	2.50	1308.35	0.35
1.00	57.00	3.33	1738.00	0.35
1.00	71.17	4.17	2207.58	0.37
1.00	90.50	5.00	2553.33	0.41
1.00	100.33	5.83	2868.57	0.42
1.00	123.33	6.67	3667.85	0.43
1.00	136.17	7.50	3993.64	0.44
1.20	29.50	3.33	1265.59	0.31
1.20	39.50	5.01	1696.20	0.35
1.20	47.67	6.68	2145.07	0.37
1.20	55.17	8.33	2432.69	0.38
1.20	66.67	10.01	2616.95	0.46
1.20	77.67	11.66	3109.26	0.46
1.20	91.67	13.32	3792.80	0.48
1.20	29.33	2.22	1247.44	0.30
1.20	36.67	3.33	1683.52	0.33
1.20	47.50	4.45	2165.13	0.37
1.20	55.67	5.56	2467.77	0.41
1.20	68.17	6.67	2701.91	0.46
1.20	75.67	7.77	3069.48	0.44
1.20	91.00	8.89	3672.09	0.50
1.20	28.00	1.67	1177.98	0.28
1.20	34.67	2.50	1604.35	0.32
1.20	44.33	3.34	2085.09	0.33
1.20	57.33	4.17	2464.55	0.40
1.20	70.00	5.01	2688.45	0.44
1.20	80.17	5.83	3121.35	0.42
1.20	89.33	6.67	3565.33	0.45
